year,UniqueID_dim,Planting_Location,plot_id,source_prairie,species,rep,row,column,directionheading,height_JUL,death_JUL,no_bolting_JUL,grwth_stg_JUL,vigor_JUL,stem_dia_mm_JUL,num_stems_JUL,max_lig_JUL,disc_dia_JUL,pssev_JUL,PSLERES_JUL,STEMPS_JUL,CLV_JUL,notes_JUL,random_num,plant_death,lf_lgth_AU,lf_width_AUG,lf_thcknss_AUG,maxlig_AUG,disc_dia_AUG,num_flwrs_single_stlk_AUG,herb_other_AUG,Floral_herb_AUG,GALLWASP_AUG,leaf_herb_AUG,pssev_AUG,PSLERES_AUG,STEMPS_AUG,lf_blotch_AUG,dis_other_AUG,Notes_AUG,Harv_numheads,Harv_filledsds,Harv_unfilledsds,Harv_sd_wt_g,Harv_Notes
2021,dimST42,west,W3_SIL,W3,SIL,2,10,5,S,,,,,,4.6,7,,,5,2,0.1,2,,8,,9,4,1.053,18,11.72,4,ama,80,0,80,15,2,2,40,,,5,16,39,0.3,
2021,dimST43,west,C4_SIL,C4,SIL,2,8,5,S,120,1,8,3.9,5,5.3,8,,,5,2,2,1,,6,,,,,,,,,,,,,,,,,probs died,0,0,0,0,
2021,dimST44,west,C4_SIL,C4,SIL,2,8,5,S,,,,,,5.5,5,,,2,2,1,2,,7,,10,4.5,1.012,17,12.59,11,,20,0,10,2,2,5,2,,,5,56,22,0.79,
2021,dimST45,west,C4_SIL,C4,SIL,2,8,5,S,,,,,,6.2,12,,,0.5,1,2,3,,8,,8.5,4,0.733,17,14.91,20,,40,0,30,1,2,2,1,,,5,55,19,0.67,
2021,dimST46,west,E4_SIL,E4,SIL,2,6,5,S,105,1,8,3.7,5,,,,,,,,,,2,d,,,,,,0,,,,,,,,,,,0,0,0,0,
2021,dimST47,west,E4_SIL,E4,SIL,2,6,5,S,,,,,,4.1,16,,,1,2,0.2,3,,4,,10,3,1.048,12,8.22,0,ama,80,0,30,5,2,6,0,,,5,25,33,0.27,
2021,dimST48,west,E4_SIL,E4,SIL,2,6,5,S,,,,,,4.6,11,,,1,2,1,6,,5,,11,2,0.77,,,0,ama,na,na,100,na,na,na,na,,,0,0,0,0,
2021,dimST49,west,W2_SIL,W2,SIL,2,3,5,S,140,1,8,5.1,6,6.1,14,27,12.4,5,3,10,8,,1,,7.5,2.5,1.5,,,2,ama,90,0,80,10,2,2,na,,"na for blotch - no leaves, cant tell why",3,10,53,0.11,
2021,dimST50,west,W2_SIL,W2,SIL,2,3,5,S,,,,,,5.5,5,,,15,3,10,3,,6,,8,2.5,0.671,,,0,ama,90,0,50,20,3,20,25,,,0,0,0,0,
2021,dimST51,west,W2_SIL,W2,SIL,2,3,5,S,,,,,,5.3,14,,,5,3,5,3,,7,,8,4,0.866,,,3,ama,90,10,60,10,2,10,5,,,5,11,122,0.17,
2021,dimST52,west,C2_SIL,C2,SIL,2,1,6,N,125,1,8,3.7,5,3.5,6,,,0,0,0.1,2,,2,,,,,,,3,,60,0,100,,,,,,,2,8,11,0.04,
2021,dimST53,west,C2_SIL,C2,SIL,2,1,6,N,,,,,,7.3,8,,,1,2,1,1,,4,,8.5,4,0.759,,,5,ama,,,90,2,15,2,2,,,0,0,0,0,
2021,dimST54,west,C2_SIL,C2,SIL,2,1,6,N,,,,,,7.6,9,16,12.4,0,0,0,4,,5,,10,4.5,0.937,,,6,,80,0,100,0,0,0,2,,,5,28,46,0.34,
2021,dimST55,west,E1_SIL,E1,SIL,2,2,6,N,115,1,8,3.9,5,5.7,14,,,0,0,0,4,,3,,8,3.5,1.03,14,8.93,7,,90,0,10,0,0,0,1,,,5,12,41,0.12,
2021,dimST56,west,E1_SIL,E1,SIL,2,2,6,N,,,,,,4.1,11,,,0.5,2,1,2,,8,,6,2.5,0.719,14,7.66,11,,100,0,30,0.5,2,1,5,,,5,22,24,0.33,
2021,dimST57,west,E1_SIL,E1,SIL,2,2,6,N,,,,,,5.2,11,11.7,14,0,0,0,3,,9,,7,4,0.714,,,11,,50,0,10,0,0,0,25,,,5,38,35,0.45,
2021,dimST58,west,E2_SIL,E2,SIL,2,5,6,N,105,1,8,3.5,5,4,32,,,1,2,2,2,,1,,6,2.5,0.647,,10.05,1,ama,60,0,50,1,2,2,0,,,5,4,52,0.04,
2021,dimST59,west,E2_SIL,E2,SIL,2,5,6,N,,,,,,4.3,13,,,0.5,2,2,1,,7,,7.5,3.5,0.737,,8.12,13,,70,0,30,1,2,0.5,0,,,5,0,55,0,
2021,dimST60,west,E2_SIL,E2,SIL,2,5,6,N,,,,,,4.1,7,26,14.1,0,0,0,0,perfoliatum hybrid pics taken eric peace sign,8,,,,,,,1,,100,0,100,,,,,,,3,0,42,0,
2021,dimST61,west,C3_SIL,C3,SIL,2,6,6,N,120,1,8,3.5,5,6.6,8,,,1,2,0.5,2,,2,,8,4,1.028,,6.02,5,,60,0,30,0.5,2,5,5,,,1,7,3,0.02,
