year,plot_id,planting_site,original_region,rep,row,column,directionheading,num_leaves_july2019,bolting_july2019,mortality_july2019,vigor_july2019,growth_stage_july2019,avgL_1_july2019,avgW_1_july2019,avgL_2_july2019,avgW_2_july2019,avgL_3_july2019,avgW_3_july2019,leafthickness1_july2019,leafthickness2_july2019,leafthickness3_july2019,PSLESEV_july2019,PSSTSEV_july2019,PSLERES_july2019,BLLEBLSEV_july2019,PHSTSEV_july2019,CVLESEV_july2019,herbdamage_1_july2019,herbpercjuly2019,MOCRLE_july2019,MOTTLE_july2019,bolting_sept2019,mortality_sept2019,vigor_sept2019,growth_stage_sept2019,PSLESEV_sept2019,PSLERES_sept2019,avg_PSLERES_sept2019,PSSTSEV_sept2019,BLLEBLSEV_sept2019,PHSTSEV_sept2019,CLVESEV_sept2019,DM_sept2019
2019,E2_SIL,e,e,2,11,7,W,11,0,0,5,1.6,16,4,14,4,15,5,0.664,0.625,0.608,0.1,0,2,0,0,0,6,10,NA,NA,1,0,6,1.6,20,3.888888889,3.875,10,0.01,0,0,0
2019,C3_SIL,e,c,3,12,1,E,4,0,0,3,1.4,18,3,13,5,12,4,0.733,0.688,0.682,0.01,0,2,0,0,0,5,20,NA,NA,0,0,5,1.5,0.1,2,2,0,0.02,0,0,0
2019,C2_SIL,e,c,3,12,2,E,5,0,0,4,1.5,16,5,19,5,21,4,0.839,0.798,0.838,0.01,0,1,0,0,0,9,10,NA,NA,0,0,7,1.7,0.5,2.222222222,2.25,0,0.01,0,0,0
2019,W4_SIL,e,w,3,12,5,E,7,0,0,5,1.7,21,6,21,7,16,6,0.759,0.692,0.694,0,0,0,0,0,0,4,10,NA,NA,0,0,7,1.7,0.05,2,2,0,0.02,0,0,0
2019,E4_SIL,e,e,3,12,8,E,4,0,0,3,1.4,12,4,15,4,13,5,0.759,0.781,0.805,0.01,0,2,0,0,0,3,10,NA,NA,0,0,4,1.4,10,3.111111111,3,0,0,0,0,0
2019,C1_SIL,e,c,3,13,2,W,5,0,0,4,1.5,15,5,18,6,18,6,0.77,0.446,0.746,0.01,0,2,0,0,0,8,20,NA,NA,0,0,5,1.4,0.1,2,2,0,0.02,0,0,0
2019,W3_SIL,e,w,3,13,4,W,6,0,0,5,1.7,20,6,20,6,20,7,0.65,0.645,0.65,0,0,0,0,0,0,3,10,NA,NA,0,0,8,1.7,0.05,2,2,0,0.01,0,0,0
2019,W2_SIL,e,w,3,15,3,W,5,0,0,4,1.3,17,5,15,5,18,5,0.707,0.691,0.715,0,0,0,0,0,0,5,10,NA,NA,0,0,6,1.5,0.1,2,2,0,0,0,0,0
2019,E3_SIL,e,e,3,15,5,W,6,0,0,4,1.4,19,5,17,5,13,5,0.473,0.476,0.525,0,0,0,0,0,0,4,10,NA,NA,1,0,7,1.8,1,2.777777778,2.625,2,0,0,0,0
2019,C4_SIL,e,c,3,16,2,E,5,0,1,4,1.3,16,5,18,5,21,6,0.75,0.74,0.762,0.01,0,2,0,0,0,6,20,NA,NA,0,1,7,1.6,30,3.375,3.285714,0,0,0,0,0
2019,E1_SIL,e,e,3,16,3,E,6,0,0,4,1.4,16,5,15,5,18,5,0.583,0.567,0.567,0.01,0,2,0,0,0,3,10,NA,NA,3,0,6,1.6,10,3.222222222,3.25,0,0,0,0,0
